data,label
加快吸引外资,0
方便快捷地办理海关手续,0
把崇明建设成对外高度开放的大型贸易港口,0
带动出口加工、航运中转等外向型经济的发展,0
将起到积极的作用,1
数年前,0
北海还是北部湾一个默默无闻的小渔村,1
然而三五年时间北海已建成了一个现代化都市的框架,1
街上客流如潮,1
楼房拔地而起,1
北海已成为中国对外开放中升起的一颗明星,1
北海市的崛起,0
是近年来广西壮族自治区对外开放取得卓著成就的重要标志之一,1
现在广西已初步形成了沿海开放城市、沿海经济开放区、边境开放城镇相结合,0
由沿海、沿边、沿江向腹地推进的多领域、多层次的对外开放总体格局,1
统计资料显示,0
过去五年广西对外贸易和利用外资规模迅速扩大,1
进出口贸易额累计达到一百亿美元,1
其中出口六十八点七亿美元,1
分别比“七五”时期（一九八六至一九九０年）增长一点七八倍和一点四三倍；实际利用外资累计达到三十三点二四亿美元,1
占改革开放以来累计总额三十八点三九亿美元的百分之八十四点四；边贸成交额一百二十四亿元,1
近年来,0
广西壮族自治区政府对全区经济发展战略、发展目标和发展布局作了重大调整,1
进一步加快改革开放,1
并制定了引进外资、加强横向经济联合和对外下放权三个文件,1
在开放开发布局上,0
广西以北海、钦州、防城为对外开放重点,1
充分发挥首府南宁对外开放城市的作用,1
促进沿海、沿边、沿江进一步开放；办好柳州市城市综合改革试验区、玉林地区城乡综合改革试验区、桂林旅游开发试验区,1
建设右江河谷扶贫经济开发带、红水河水电为主的扶贫综合开发带,1
并投资一千三百多个亿,1
加强基础设施和基础产业建设,1
为扩大对外开放创造良好环境,1
为了进一步扩大对外开放,1
推动外向型经济的发展,1
广西出台了一系列利用外资的政策,1
近几年来,0
外商投资广西相当活跃,1
生产性项目、大型骨干项目增多,1
实力雄厚的日本伊藤忠株式会社、韩国大宇集团和香港长江实业集团等大型公司纷纷来广西投资,1
到去年底,0
广西“三资”企业已突破六千家,1
利用大西南出海通道的便利,1
广西还加强与四川、云南、贵州、湖南、西藏、上海等省区市的横向经济联合,1
据不完全统计,0
广西仅与西南三省一区（四川、贵州、云南省和西藏自治区）实施了一千多个协作项目,1
协议资金数十亿元,1
如今,0
甘肃省的外资企业已不再为投资风险担忧,1
为确保对外开放的顺利进行,1
“八五”期间（一九九一至一九九五年）,0
甘肃省涉外保险业发展迅速,1
累计已经提供六百一十一亿元的风险保障,1
承保范围包括财产、责任、信用、人身四大类主、副六十多个险种,1
据甘肃省有关部门介绍,0
“八五”以来,0
甘肃省利用外资蓬勃发展,1
依据经济发展和海外投资商的需要,1
中国人民保险公司甘肃省分公司适应外商要求,1
提供了设备的引进到运输、从安装到形成固定资产期间的全套保险,1
为外商解除了后顾之忧,1
特别是为正大公司、华兴铝业公司等外商投资企业开办了常规的运输保险、资产保险、汽车保险等保险业务,1
还适时进行雇主责任险、投资保险、利润损失险等新险种,1
满足了外商投资需求,1
使外商投资企业投保率达到百分之九十以上,1
据统计,0
“八五”期间,0
人保公司为甘肃省进出口贸易承担风险金额达七点七一亿元,1
支付赔款一千三百八十五点五万元,1
有力地促进甘肃省进出口贸易发展,1
世界银行贷款的“引大入秦”工程是全国最长的自流灌溉水利工程,1
甘肃省人保公司为其中十三家中外承包商提供各类风险保障额达六点九三亿元,1
他们还为国家重点工程兰化化肥厂改扩建工程提供了一点九亿美元的安装工程保险保障,1
针对甘肃旅游业的发展需求,1
人保公司积极推出海外游客保险,1
还在国内首家推出海外散客保险办法,1
使“八五”期间凡到甘肃观光游览的海外游客全部得到保险保障,1
甘肃省还积极探索高风险业务,1
“八五”期间,0
参与卫星发射的共保,1
分担的风险金额达一千万元,1
支付赔款五百万元,1
成为西北首家参与航天业务的公司,1
同时积极开拓海外市场投保业务,1
为省国际公司中标的津巴布韦公路项目提供近三千万美元的建筑工程一切险；为兰州石油化工机械厂海外部,1
新加坡石油钻井平台提供了责任限额一千三百万美元的风险保障；为甘肃省海外经贸洽谈会和海外劳务输出人员提供有关保险项目,1
还为省火电公司海外业务提供配套保险服务,1
中国进出口银行最近在日本取得债券信用等级ＡＡ－,1
这是日本金融市场当前对中国银行的最高债券评级,1
日本公社债研究所确定中国进出口银行债券信用等级为ＡＡ－,1
与日本评级机构内部对中国主权信用等级的评级一致,1
去年十月,0
中国进出口银行聘请日本野村证券公司作顾问,1
向日本著名的评级机构日本公社债研究所提出正式评级申请,1
进出口银行决定先在日本取得信用评级是为进入国际资本市场融资创造作准备,1
以便扩大资金来源,1
支持中国机电产品和成套设备出口,1
进出口银行通过书面介绍、实地考察等形式向日本公社债研究所全面介绍了今年来中国金融体制改革的情况、银行成立的背景、银行管理和运营机制、银行业务发展现状以及以后的发展目标,1
使之对中国进出口银行有了较深的了解,1
到目前为止,0
全区已有四百一十家企业,1
被认定为高新技术产业的有二百二十三家,1
其中大专院校、大型科研院所和大中企业开办的企业约占百分之七十,1
迄今已有二十多家高新企业与十多个国家和地区联合,1
兴办了七十八家外商投资企业,1
去年,0
开发区技工贸总收入达三十亿元,1
税利４亿元,1
出口创汇二千万美元,1
这个开发区位于中国著名风景旅游城——杭州市区内,1
是一九九一年国务院批准建设的国家级高新技术产业开发区,1
产品、项目水平高,1
是该区的重要特点,1
据了解,0
进区的每个企业都有一至多个高新技术项目或产品,1
目前区内已有五百五十多个高新技术项目或产品进入商品化生产或推广应用,1
其中五十七项被批准列入国家、省、市火炬计划,1
其数量比例在全国高新技术产业开发区中名列前茅,1
重点发展的医药与生物技术、新材料、计算机及应用、光电一体化等产业已初具规模,1
重大科技成果迅速转化为现实生产力,0
是这个开发区的突出特点,1
由浙江医科院院长、中国科学院士毛江森主持在世界上率先研究成功,1
并具有国际先进水平的甲肝减毒活疫苗,1
去年经卫生部批准正式投入生产和使用,1
目前该区生产此疫苗的普康公司已形成年产五百万人份的生产规模,1
这对有效地控制甲肝流行具有重大意义,1
新材料重大成果的转化在该区尤为突出,1
曾荣获国家重大发明奖的以氮作保护气直拉硅单晶技术,0
已由该区浙大半导体厂转化为国内外同类产品中的佼佼者,1
目前硅单晶年产已达二十多吨,1
居全国第一,1
其销售市场已从国内和东南亚扩展欧美许多国家,1
据台“经济部”统计,0
去年两岸贸易额为二百零九亿美元,1
其中,0
台湾对祖国大陆输出值为一百七十八亿美元,1
比上一年增长百分之二十；输入值为三十一亿美元,1
比上年增长百分之七十四,1
台湾在两岸贸易中顺差一百四十七亿美元,1
统计还显示,0
台商投资祖国大陆正趋向大型化,1
去年经台当局核准的台商投资案共四百九十项,1
金额为十点九二亿美元,1
在投资项目上比上年减少四百四十四件,1
但投资金额却比上年增加一点三亿多美元,1
古老的京杭大运河如今不仅在贯通南北运输方面发挥重要作用,1
而且带动起一条欣欣向荣的工业走廊,1
形成了大运河经济带,1
京杭运河古来繁华,1
两岸商贾云集,1
贸易发达,1
随着中国对大运河的整治,0
运河航道状况得到极大改善,1
许多企业纷纷看好这条“黄金水道”,1
积极在此投资建厂,1
沿河企业星罗棋布,1
据初步统计,0
仅运量在万吨上的企业就有二千多家,1
小的乡镇企业则不计其数,1
大运河作为一条水运大动脉,1
为沿岸企业提供了运输和给排水之便,1
成为企业发展的生命通道,1
据江苏苏钢集团公司负责人介绍,0
苏钢每年要靠大运河运输原料、成品一百五十万吨,1
其中煤炭从徐州运来,1
走运河比走陆路运费每吨便宜十五元,1
仅此一项大运河每年就为厂家节约成本二千多万元,1
运河整治后,1
苏钢在运河对岸建了新厂区,1
并自筹资金建设了一座跨运河大桥,1
把新厂、老厂连为一体,1
运河沿岸企业涉及钢铁、电力、建材、机械等行业,1
多为当地经济支柱,1
常州市沿运河两岸零点五平方公里范围内,0
大型厂矿企业有一百八十六家,1
在常州重点培育的十大支柱产业中,0
动力机械工业、汽车工业、工程机械工业、输变电设备工业等七大产业均沿河分布,1
无锡市沿运河企业有五百多家,1
超亿元产值的大型企业有五十多家,1
成为无锡市经济发展的主骨架,1
镇江市沿运河分布各类企业四百三十五家,1
年产值二十二亿元,1
利税一点六八亿元,1
是镇江经济的主要支柱,1
扬州市傍河而建的各类企业一百三十余家,1
该市的名牌产品、支柱产业、外向型经济大多沿河分布,1
成为扬州经济新的生长点,1
大运河的大规模整治,1
改善了沿河市县的投资环境,1
以良好的水运优势吸引外商投资,1
促进了外向型经济的发展,1
常州市的大多数重点推进利用外资项目和招商项目分布在运河两岸,1
镇江市近年依托大运河建厂的外商独资企业就有八家,1
合资企业更多,1
正值中国与韩国双边贸易额大幅增长之际,0
一项大型的中韩经贸研讨会将于今年四月十八日至十九日在北京举行,1
这是中韩双方首次举办的专门讨论两国经贸交流与合作的大型研讨会,1
业内人士认为,0
它将为中韩两国经贸界提供一次扩大交流与合作的良机,1
近年来,0
中韩两国之间的经贸往来发展迅速,1
截止去年九月,0
韩国在华投资企业总数为五千八百八十三家,1
中国已成为韩国最大的投资对象国,1
据中国海关统计,0
一九九五年两国贸易额已达一百六十九点八亿美元,1
比前年增长百分之四十四点八,1
经济专家预计,0
今年中韩两国贸易额将增至二百五十亿美元,1
据悉,0
在中韩首次举办的专门讨论两国经贸交流与合作的大型研讨会上,0
中国有关部委的权威人士将在会上着重介绍中国即将公布的一系列对外贸易及合作的新政策,1
其中包括有关降低进口产品关税、外资企业出口产品退税、外资企业进口设备取消减免税以及加工贸易保证金台帐制度等海外投资者十分关注的问题,1
此外,0
经贸界人士关心的中韩在汽车、民用航空、高清晰度电视和程控交换机四大领域的合作谈判进展情况,1
也是此次研讨会主要议题之一,1
这次中韩经贸研讨会由中国新华通讯社对外部、对外贸易经济合作部亚洲司与韩国驻华使馆、大韩贸易振兴公社联合举办,1
据称,0
研讨会上还将介绍韩国中小企业家们尤为关注的中国国内流通领域的对外开放问题,1
深圳市沙头角保税区今后五年将充分发挥保税区的区位优势和政策优势,1
以高新技术产业为先导,1
积极调整产品结构,1
实施以转口贸易和仓储业为辅助的经营战略,1
把沙头角保税区建成按国际惯例运作、国内领先的特殊综合经济区域,1
使其成为该市外向型经济的快速增长点,1
为实现上述规划,1
沙头角保税区除继续完备相应的物质条件和政策法规、管理体制、运作机制、人才等条件外,1
并推出下列措施予以保障,1
－－真正按照国际惯例运作,1
以国际上通行的“自由贸易区”为参照目标，以“境内关外”为监管模式,1
逐步做到区内的人员、货物、资金与境外自由流动,1
实现与国际市场的充分对接,1
－－继续优化投资硬环境和软环境,1
以建立保税区管理局为契机,1
实现领导一元化、机构一体化、工作“一站式”、服务“一条龙”,1
－－积极做好招商引资工作,1
今后五年要加快引资步伐,1
逐步调整产业结构、产品结构和企业结构,1
实现“三个转变”,1
即从单一的出口加工向综合性功能发展,1
从以传统的产业为主转变为重点发展新技术产业；从零散状态的小规模引进为主转变为积极引进国外跨国公司和集团的大型工贸项目,1
根据沙头角保税区的“九五”计划,0
到本世纪末,0
保税区的出口加工年产值将达一百五十亿元,1
年出口创汇十五亿美元,1
年进口贸易总额二亿美元,1
年仓储能力达到二十万吨,1
沙头角保税区是中国目前最早创办的保税区,1
各项经济指标仍居全国同行前列,1
去年实现工业产值二十点五亿元,1
出口创汇一点五亿美元,1
八年来,0
先后有十多个国家和地区的客商进保税区投资,1
到去年十二月底,0
已累计批准外商投资企业二百一十六家,1
国家统计局预测,0
一九九六年全球经济将继续保持增长,1
这种良好的态势对中国的发展十分有利,1
使其面临很多发展机遇,1
据预测,0
今年全球经济增长幅度可达到百分之四点一,1
推动经济增长的主要因素是亚洲地区经济发展依然强劲有力,1
全地区经济增长速度将达到百分之七点九,1
而中国增长速度可高达百分之九点七,1
国家统计局分析,1
对中国经济发展十分有利的条件主要有两方面：一是世界经济和国际贸易持续增长,1
标志国际市场需求的稳步扩大,1
为中国出口贸易发展提供了比较有利的国际环境,1
二是一九九六年中国大幅度降低关税,1
将进一步改善中国的投资环境,1
吸引更多外商前来投资,1
分析表明,0
在机遇良多、国际形势十分有利的情况下,0
中国今年经济发展仍面临严竣挑战,1
在经济快速增长的背后还存在不少困难,1
其中突出问题是通货膨胀、农业基础薄弱、国有企业活力不足等,1
在进行全球贸易自由化的同时,1
中国必须对国有企业进行改革,1
增强本身的竞争力,1
当前一些国有企业经营困难,1
而且国有企业负债高达七千亿元,1
其产品质量也参差不齐,1
如无改进,1
很难在海外市场参与竞争,1
据分析,0
当前发展中国家经济的迅速崛起,1
使中国在吸引外资、引进技术、拓展市场及发展高科技等领域也面临激烈的国际竞争,1
这是国家开发银行首次在国际资本市场发行债券,1
由日本野村证券株式会社和日本兴业银行证券株式会社作为联合主干事,1
发行期限十年,1
到期一次偿还,1
据了解,0
这次发行武士债券的条件是近几年来比较优惠的,1
筹集的资金将主要用于广东岭澳核电工程、伊敏电厂和绥中电厂等国家重点建设项目,1
一九九五年,0
国家开发银行成功地组织了首次五千万美元外国银团贷款,1
同时承做了岭澳核电工程、秦山二期核电等项目的国外出口信贷的转贷,1
从内资和外资两个方面不断加大对重点建设项目的支持力度,1
为推动中国经济发展发挥了积极的作用,1
专家们认为,0
在中国的五个经济特区中,0
海南的地理位置、资源条件、经济发展状况较为特殊,1
应进一步扩大对外开放,1
率先实现与亚太区域经济一体化和国际贸易自由化的对接,1
建议提出海南应在近期采取以下措施,1
一是继续鼓励和支持外来投资,1
加速实现中央提出的以利用外来投资为主加速开发建设的要求；二是在一定时期内采用优惠政策,1
大力发展现代农业和国际旅游业；三是以建设洋浦保税区和三亚国际性旅游城市为突破,1
带动全岛的对外开放,1
这些建议分为六个部分,1
分别是：按照“一线放开，二线隔离”的原则加速洋浦保税区的开发建设；借鉴国际经验,1
尽快把三亚建设成国际性旅游城市；采取优惠政策扶持和鼓励海南热带农业及加工业的发展；努力争取实现琼台农业项下的自由贸易；鼓励和支持海南与外资合作,1
开发南海海洋资源；按照扩大对外开放的要求,1
允许和鼓励海南大胆进行各项改革试验等,1
总面积二点三平方公里的宁波保税区,0
经过三年建设,1
已取得丰硕成果,1
宁波保税区是中国十三个保税区之一,1
于一九九二年经国务院批准设立,1
目前,0
保税区的各项功能已初具规模,1
开发水平在中国各保税区中名列前茅,1
据统计,0
至去年年底,0
宁波保税区累计完成进出口贸易额八点一二亿美元,1
仅去年一年通过保税区海关的进出口贸易额就达三点六五亿美元,1
目前,0
区内已有十个保税仓库,1
仓储面积达八万多平方米；仅去年一年,0
区内储有货物就达二十六点二七亿元人民币,1
随着从今年四月开始中国对保税区外有关特殊政策的调整,0
保税区免证、免税,1
保税政策的稳定性优势显得更为明显,1
国内外一大批实业加工项目相继在区内落户,1
到去年十二月底,0
区内已累计设立企业一千六百一十四家,1
总投资达十二亿美元,1
其中外商投资企业二百六十家,1
实际利用外资一点一三亿美元,1
另外,0
众多国内企业也通过保税区与国际市场接轨,1
为了在运行机制上与保税区相配套,1
宁波保税区率先在中国实施了企业依法注册直接登记制的试行一站式管理,0
一次性办理,1
同时,0
保税区大力抓好区内信息高速公路的网络体系建设,1
为实现现代化管理创造良好的配套条件,1
位于中国山西、陕西、河南三省交界处,0
人称黄河“金三角”的风陵渡经济开发区,0
日益受到中外客商的注目,1
成为新的投资热点,1
风陵渡经济开发区是中国境内唯一一个依托小城镇建成的开发区,1
也是内陆省份山西省对外联系的新通道,1
经过三年多的建设,0
这一开发区已初具规模,1
成为木材、药材、烟草、服装、粮油、工业品等多种商品流通的综合性批发市场,1
目前,0
开发区内楼房林立、商贾云集,1
一座投资六千万元的多功能现代化商城——金三角新庄的建设已近尾声,1
二千门程控电话已投入使用,0
十千伏高压电路运转正常,1
吸引着大批投资者,1
柠檬厂、香料厂、特种油漆厂等三十余家工厂的产品源源不断地输送到内陆各地,1
新建的骨科、妇科、儿科三个专科医院,0
设备先进,1
已开门应诊,1
迅速崛起的金三角引起了境外客商的注视,1
目前已有美、法、日、韩、台等国家和地区的五十多家财团与客商正在对三十一个项目进行洽谈,1
投资总额高达三点二亿元,1
长江三峡工程近日引进第一笔外资,1
这笔数额为一千二百五十万美元的贷款是加拿大政府向三峡工程提供的出口信贷,1
主要用于三峡工程的管理系统,1
三峡工程管理系统将引进加拿大ＭＡＩ公司科学的管理办法和先进的计算机技术,1
以工程数据库管理系统为核心,0
对三峡工程的各分项工程的设计、计划、合同、财务、物资、设备、施工、安装的全过程进行控制和管理,1
一九九五年十月,0
中国长江三峡工程开发总公司总经理陆佑楣赴加拿大签定了有关商务合同,1
这个出口信贷项目委托中国银行为代理银行,1
商务代理为中国电子进出口总公司,1
二月二十八日,0
中国银行三峡分行与中国长江三峡工程开发总公司签订了项目转贷协议合同,1
浙江省今后将进一步提高对外开放水平,1
努力扩大对外贸易、利用外资和国际经济技术合作,1
并逐步完善对外经贸营销网络,1
到目前为止,0
该省共有三十四个市、县被列为沿海经济开放市县,1
占全省总面积的百分之四十四,1
其中国家级的各种开发区七个,1
还有一批省级经济开发区和省级农业开发区,1
此外,0
经国务院批准成片开发建设的宁波大榭岛实行经济技术开发区的优惠政策,1
浙江“九五”经贸发展规划还决定,1
今后要把全面推进对外开放向高层次、宽领域、纵深化发展作为重点,1
围绕发挥杭州、宁波、温州等中心城市对外开放的先导作用,1
加快浙江中西部地区和农业、海岛、海洋的对外开放力度,1
探索扩大金融和零售商业进行中外合资、合作的试点,1
争取在长江三角洲经济带的开发开放中创造新优势,1
据了解,0
未来五年间,0
浙江将大力实施出口商品“龙头”计划,1
启动外贸发展基金,1
促使外贸出口的增长方式由粗放型、数量型转变为集约型和效益型,1
形成外贸出口的新的增长优势；利用外资将重点引导外资投向基础设施、原材料工业、农业、高新技术和新兴产业,1
积极探索企业产权转让等投资方式,1
开辟利用外资的新渠道,1
据这个规划确定的目标,0
到二０００年,0
浙江省进出口总额将达到二百亿美元,1
其中出口一百五十亿美元,1
进口五十亿美元；“九五”期间利用外资额将达到六十亿美元,1
其中外商直接投资五十亿美元,1
在占福建经济总量“半壁江山”的乡镇企业发展中,0
闽东南地区继续发挥了龙头作用,1
去年,0
福州、厦门、泉州、漳州、莆田五地市乡镇企业经济总量占全省百分之七十以上,1
据福建乡镇企业局统计,0
一九九五年福建省乡镇企业总产值已达二千三百八十一点五亿元人民币,1
其中工业产值一千五百五十九亿元人民币,1
全年创利润一百零九亿元人民币,1
乡镇企业创造的国民生产总值约占福建省国民生产总值的三分之一,1
“八五”期间（一九九一至一九九五年），福建省乡镇企业累计上缴了一百八十五点六亿元人民币的税金，完成出口交货值一千零五十五亿元人民币。全省已有十一家乡镇企业跻身中国“最佳经济效益乡镇企业”行列,1
目前,0
福建省已涌现出一批科技含量较高、发展后劲较足的乡镇企业或乡镇企业集团,1
据统计,0
在全省一百九十一个已建立的乡镇企业集团中,0
产值上亿元人民币的已达五十多个,1
有些已达五至十亿元,1
福州鼓山镇的福兴投资区、晋江安海的桥头工业区均成为全国乡镇企业示范小区,1
最近一个时期,0
地处中国沿边开放前沿的内蒙古呼伦贝尔盟采取一系列措施,1
大力改善投资环境,1
加快对外开放步伐,1
呼伦贝尔盟位于中国北疆边陲,0
与俄罗斯、蒙古接壤,1
在境内长达一千六百多公里的边境线上,0
分布着国家一、二类口岸九个,1
为充分发挥地缘优势,1
进一步加快对外开放步伐,1
呼伦贝尔盟自去年下半年开始,0
认真总结在对外开放方面存在的问题和不足,1
大力开展了“创造良好开放环境”活动,1
从去年十月份开始,0
呼伦贝尔盟出台了新的《对外开放优惠政策》,1
为制止乱收费、乱罚款和乱设卡,1
除勒令取消一百四十八项不合理收费外,1
对集体、个体私营经济实行“缴费明白卡、登记卡”制度,1
目前,0
全盟已撤掉各类堵卡站二十多个,1
在海拉尔市,0
重点抓了办事效率低的整顿问题,1
三资企业的审批速度已由原来的一个月左右限定在七天以内,1
盟工商部门对个体私营企业申办营业执照实行一张表格、一张照片、一张身份证、一天办完的工作制度,1
商检部门将原来七至十天完成的产地检验时间缩短到一至三天,1
黑山头口岸联检部门将原来要二至三天办完的出入境手续改为一天办完,1
迄今,0
呼伦贝尔盟十三个旗市已全部进入全国电话直拨网,1
并成为中国最大的电话本地网,1
海拉尔、满洲里等城市先后建起星级宾馆饭店十余所,1
去年,0
海拉尔飞机场扩建成为国际航空港,1
三０一国道海拉尔至满洲里段建成通车,1
额尔古纳河航运试航成功,1
使呼伦贝尔盟形成了铁路、公路、水路和空中立体开放、多口通商的新格局,1
适应了国内外客商来呼盟观光旅游、洽谈生意的需要,1
投资环境的改善,1
吸引了国内外大财团、大企业的雄厚资金、先进经验、先进技术接踵而至,1
加拿大太平矿业有限公司投资二千九百七十万元与呼盟一家铅锌银矿联合建立了有限责任公司,1
